atlas_id,created_at,provider,lat,lon,width,height
1,2014-09-08 17:44:45,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,43.702,7.3318,0.0134,0.0122
2,2014-03-20 03:39:15,http://tile.stamen.com/boner/{Z}/{X}/{Y}.jpg,50.0761,19.9017,0.0067,0.0031
2,2014-03-20 03:39:15,http://tile.stamen.com/boner/{Z}/{X}/{Y}.jpg,50.0761,19.9085,0.0067,0.0031
2,2014-03-20 03:39:15,http://tile.stamen.com/boner/{Z}/{X}/{Y}.jpg,50.0761,19.9152,0.0067,0.0031
2,2014-03-20 03:39:15,http://tile.stamen.com/boner/{Z}/{X}/{Y}.jpg,50.0733,19.9017,0.0067,0.003
2,2014-03-20 03:39:15,http://tile.stamen.com/boner/{Z}/{X}/{Y}.jpg,50.0733,19.9085,0.0067,0.003
2,2014-03-20 03:39:15,http://tile.stamen.com/boner/{Z}/{X}/{Y}.jpg,50.0733,19.9152,0.0067,0.003
2,2014-03-20 03:39:15,http://tile.stamen.com/boner/{Z}/{X}/{Y}.jpg,50.0704,19.9017,0.0067,0.003
2,2014-03-20 03:39:15,http://tile.stamen.com/boner/{Z}/{X}/{Y}.jpg,50.0704,19.9085,0.0067,0.003
2,2014-03-20 03:39:15,http://tile.stamen.com/boner/{Z}/{X}/{Y}.jpg,50.0704,19.9152,0.0067,0.003
3,2015-01-31 01:51:38,http://tile.stamen.com/bing-lite/{Z}/{X}/{Y}.jpg,-8.043,111.7092,0.0076,0.0053
3,2015-01-31 01:51:38,http://tile.stamen.com/bing-lite/{Z}/{X}/{Y}.jpg,-8.043,111.7168,0.0077,0.0053
3,2015-01-31 01:51:38,http://tile.stamen.com/bing-lite/{Z}/{X}/{Y}.jpg,-8.048,111.7092,0.0076,0.0053
3,2015-01-31 01:51:38,http://tile.stamen.com/bing-lite/{Z}/{X}/{Y}.jpg,-8.048,111.7168,0.0077,0.0053
4,2014-04-29 07:57:24,http://tile.stamen.com/bing-lite/{Z}/{X}/{Y}.jpg,22.9905,120.221,0.0028,0.0032
4,2014-04-29 07:57:24,http://tile.stamen.com/bing-lite/{Z}/{X}/{Y}.jpg,22.9905,120.2236,0.0028,0.0032
