atlas_id,timestamp,provider,lat,lon,width,height
1,1410223485,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,43.702,7.3318,0.0134,0.0122
2,1395311955,http://tile.stamen.com/boner/{Z}/{X}/{Y}.jpg,50.0761,19.9017,0.0067,0.0031
2,1395311955,http://tile.stamen.com/boner/{Z}/{X}/{Y}.jpg,50.0761,19.9085,0.0067,0.0031
2,1395311955,http://tile.stamen.com/boner/{Z}/{X}/{Y}.jpg,50.0761,19.9152,0.0067,0.0031
2,1395311955,http://tile.stamen.com/boner/{Z}/{X}/{Y}.jpg,50.0733,19.9017,0.0067,0.003
2,1395311955,http://tile.stamen.com/boner/{Z}/{X}/{Y}.jpg,50.0733,19.9085,0.0067,0.003
2,1395311955,http://tile.stamen.com/boner/{Z}/{X}/{Y}.jpg,50.0733,19.9152,0.0067,0.003
2,1395311955,http://tile.stamen.com/boner/{Z}/{X}/{Y}.jpg,50.0704,19.9017,0.0067,0.003
2,1395311955,http://tile.stamen.com/boner/{Z}/{X}/{Y}.jpg,50.0704,19.9085,0.0067,0.003
2,1395311955,http://tile.stamen.com/boner/{Z}/{X}/{Y}.jpg,50.0704,19.9152,0.0067,0.003
3,1422697898,http://tile.stamen.com/bing-lite/{Z}/{X}/{Y}.jpg,-8.043,111.7092,0.0076,0.0053
3,1422697898,http://tile.stamen.com/bing-lite/{Z}/{X}/{Y}.jpg,-8.043,111.7168,0.0077,0.0053
3,1422697898,http://tile.stamen.com/bing-lite/{Z}/{X}/{Y}.jpg,-8.048,111.7092,0.0076,0.0053
3,1422697898,http://tile.stamen.com/bing-lite/{Z}/{X}/{Y}.jpg,-8.048,111.7168,0.0077,0.0053
4,1398783444,http://tile.stamen.com/bing-lite/{Z}/{X}/{Y}.jpg,22.9905,120.221,0.0028,0.0032
4,1398783444,http://tile.stamen.com/bing-lite/{Z}/{X}/{Y}.jpg,22.9905,120.2236,0.0028,0.0032
5,1349030238,http://tile.stamen.com/toner-lite/{Z}/{X}/{Y}.png,40.0533,-105.2703,0.0659,0.0353
5,1349030238,http://tile.stamen.com/toner-lite/{Z}/{X}/{Y}.png,40.0198,-105.2703,0.0659,0.0353
5,1349030238,http://tile.stamen.com/toner-lite/{Z}/{X}/{Y}.png,39.9861,-105.2703,0.0659,0.0353
6,1416587242,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,43.6647,-79.3522,0.0018,0.0018
7,1342513154,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,54.0859,12.089,0.061,0.0453
7,1342513154,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,54.0859,12.1469,0.061,0.0453
8,1423034177,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,48.7324,-3.4571,0.0108,0.005
9,1415655737,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,40.7322,-73.9946,0.0173,0.0165
10,1417436737,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,19.1135,72.904,0.0253,0.0168
10,1417436737,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,19.1135,72.9293,0.0254,0.0168
11,1404990964,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,37.6924,23.346,0.087,0.0482
12,1376482882,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,48.5918,-0.3597,0.0017,0.0014
12,1376482882,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,48.5918,-0.358,0.0017,0.0014
12,1376482882,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,48.5918,-0.3565,0.0017,0.0014
12,1376482882,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,48.5904,-0.3597,0.0017,0.0014
12,1376482882,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,48.5904,-0.358,0.0017,0.0014
12,1376482882,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,48.5904,-0.3565,0.0017,0.0014
12,1376482882,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,48.589,-0.3597,0.0017,0.0014
12,1376482882,http://tile.openstreetmap.org/{Z}/{X}/{Y}.png,48.589,-0.358,0.0017,0.0014
